name,yield,Q4,Q3,Q2,Q1,DIVIDEND,shares,div_amt,current,amount,XDATE,PAIDDATE,ACTUAL
RCL,11.76,3.0,1.5,1.5,0.0,6.0,9000,54000.0,51.0,459000.0,2022-03-23,2022-05-20,1
SCCC,11.5,9.0,0.0,9.0,0.0,18.0,1200,21600.0,156.5,187800.0,2022-02-24,2022-04-08,0
TMT,11.5,0.7,0.0,0.6,0.0,1.3,27000,35100.0,11.3,305100.0,2022-04-18,2022-05-06,1
MCS,8.94,0.5,0.37,0.4,0.0,1.27,50000,63500.0,14.2,710000.0,2022-03-15,2022-05-05,0
JASIF,8.8,0.25,0.22,0.24,0.24,0.95,110000,104500.0,10.8,1188000.0,2022-03-03,2022-03-21,0
HREIT,7.99,0.1738,0.1738,0.1738,0.1738,0.6952,40100,27877.52,8.7,348870.0,2022-03-04,2022-03-30,0
CPNCG,7.86,0.2222,0.24,0.245,0.2515,0.9587,20000,19174.0,12.2,244000.0,2022-02-14,2022-03-04,0
RJH,7.69,1.0,1.1,0.4,0.0,2.5,4500,11250.0,32.5,146250.0,2022-05-09,2022-05-24,1
DIF,7.46,0.261,0.261,0.261,0.261,1.044,50000,52200.0,14.0,700000.0,2022-02-10,2022-03-04,0
PTTGC,7.46,1.75,0.0,2.0,0.0,3.75,12000,45000.0,50.25,603000.0,2022-02-28,2022-04-22,0
RATCH,7.44,1.35,0.0,2.0,0.0,3.35,6000,20100.0,45.0,270000.0,2022-03-17,2022-05-20,0
TISCO,7.19,7.15,0.0,0.0,0.0,7.15,4000,28600.0,99.5,398000.0,2022-04-29,2022-05-19,1
