name,cost_amt,qty,avg_cost
BCH,319500.0,15000,21.3
CPNCG,248000.0,20000,12.4
DIF,735000.0,50000,14.7
DOHOME,291600.0,12000,24.3
HREIT,358895.0,40100,8.95
IP,151500.0,7500,20.2
JASIF,1112000.0,110000,10.10909090909091
KCE,830500.0,11000,75.5
MAKRO,126000.0,3000,42.0
MCS,1002000.0,60000,16.7
MEGA,193500.0,4500,43.0
NER,201150.0,27000,7.45
PTT,346500.0,9000,38.5
PTTGC,705000.0,12000,58.75
RATCH,274500.0,6000,45.75
RCL,416250.0,9000,46.25
RJH,148500.0,4500,33.0
SCC,358200.0,900,398.0
SCCC,205200.0,1200,171.0
SINGER,190125.0,4500,42.25
SIS,182250.0,4500,40.5
SPALI,198000.0,9000,22.0
STA,759375.0,22500,33.75
SYNEX,427500.0,15000,28.5
TISCO,391000.0,4000,97.75
TMT,283500.0,27000,10.5
WHART,125000.0,10000,12.5
