name,date,volbuy,cost_amount,market_value,period
ASP,2022-03-07,30000.0,114000.0,90000.0,1
MCS,2016-09-20,75000.0,1155000.0,757500.0,1
PTTGC,2021-03-17,12000.0,705000.0,498000.0,1
STA,2021-06-15,22500.0,759375.0,438750.0,1
BCH,2021-09-07,18000.0,383400.0,320400.0,2
CPNREIT,2022-08-16,10000.0,192000.0,186000.0,2
DCC,2022-05-05,60000.0,177600.0,160800.0,2
DIF,2020-08-01,40000.0,588000.0,540000.0,2
GVREIT,2022-08-24,10000.0,91500.0,90000.0,2
JASIF,2018-05-17,130000.0,1300000.0,1059500.0,2
RCL,2021-11-08,15000.0,686250.0,435000.0,2
SENA,2022-03-29,105000.0,470400.0,415800.0,2
TMT,2021-08-16,48000.0,475200.0,384000.0,2
VNG,2022-08-15,15000.0,100500.0,90000.0,2
WHART,2022-01-05,30000.0,351000.0,303000.0,2
IVL,2022-08-29,2400.0,105600.0,93600.0,3
KCE,2021-10-07,15000.0,1076250.0,648750.0,3
MAKRO,2022-02-24,7500.0,303000.0,253125.0,3
NER,2021-09-01,27000.0,201150.0,149850.0,3
ORI,2022-04-07,45000.0,495000.0,454500.0,3
PTT,2022-09-27,4500.0,166500.0,153000.0,3
SYNEX,2022-01-07,18000.0,504000.0,302400.0,3
DOHOME,2021-08-20,7200.0,145800.0,96480.0,4
SCC,2021-09-20,900.0,358200.0,293400.0,4
SCCC,2022-02-23,1200.0,205200.0,183600.0,4
WHAIR,2021-10-11,40000.0,358000.0,290000.0,4
